title,make,model,year,condition,transmission,location,price
Toyota Corolla 1.6 Petrol 2020 White,Toyota,Corolla,,foreign used,automatic,Ajah,"₦ 29,000,000"
Honda Accord Automatic 2003 Black,Honda,Accord,,local used,automatic,Surulere,"₦ 3,750,000"
Toyota Avensis 2011 White,Toyota,Avensis,2011,foreign used,automatic,Enugu,"₦ 12,870,000"
Toyota Camry LE 4dr Sedan (2.5L 4cyl 6A) 2012 Red,Toyota,Camry,,local used,automatic,Magodo,"₦ 11,800,000"
Lexus ES 330 2005 Silver,Lexus,ES,,local used,automatic,Agege,"₦ 5,700,000"
Mercedes-Benz M Class 2015 Gray,,,,foreign used,automatic,Apapa,"₦ 30,000,000"
Nissan Sentra 2012 Silver,Nissan,Sentra,2012,foreign used,automatic,Alimosho,"₦ 11,300,000"
Mercedes-Benz GLK-Class 350 4MATIC 2012 White,,,,foreign used,automatic,Apapa,"₦ 17,000,000"
Toyota Highlander 2004 Silver,Toyota,Highlander,2004,local used,automatic,Shomolu,"₦ 6,800,000"
Toyota Corolla 2009 Silver,Toyota,Corolla,2009,foreign used,automatic,Ojodu,"₦ 12,000,000"
Toyota Avensis Verso 2.0 Petrol 2006 Black,Toyota,Avensis,,foreign used,automatic,Apapa,"₦ 13,000,000"
Toyota Highlander 2022 Black,Toyota,Highlander,2022,foreign used,automatic,Lekki,"₦ 58,000,000"
Toyota Venza Limited AWD V6 2013 Black,Toyota,Venza,,foreign used,automatic,Gwarinpa,"₦ 26,000,000"
Toyota Camry LE 4dr Sedan (2.4L 4cyl 5A) 2005 Silver,Toyota,Camry,,foreign used,automatic,Ikeja,"₦ 7,500,000"
Toyota Highlander 2018 Black,Toyota,Highlander,2018,local used,automatic,Amuwo-Odofin,"₦ 22,000,000"
Honda Accord 2019 Black,Honda,Accord,2019,foreign used,automatic,Port-Harcourt,"₦ 34,000,000"
Toyota Sienna 2001 Green,Toyota,Sienna,2001,foreign used,automatic,Onitsha,"₦ 7,800,000"
Honda Pilot Touring 4dr SUV 4WD (3.5L 6cyl 9A) 2017 White,Honda,Pilot,,foreign used,automatic,Magodo,"₦ 27,500,000"
Toyota Sienna 2006 Blue,Toyota,Sienna,2006,foreign used,automatic,Isolo,"₦ 11,100,000"
Hyundai Sonata 2013 Gray,Hyundai,Sonata,2013,foreign used,automatic,Amuwo-Odofin,"₦ 13,700,000"
Lexus RX 350 2011 Black,Lexus,RX,,foreign used,automatic,Ikeja,"₦ 19,900,000"
Toyota Venza 2011 Black,Toyota,Venza,2011,foreign used,automatic,Ikeja,"₦ 19,480,000"
Acura MDX SH-AWD 4dr SUV AWD w/Technology Package (3.5L 6cyl 6A) 2014,Acura,MDX,,foreign used,automatic,Alimosho,"₦ 18,900,000"
Mercedes-Benz CLA-Class 2023 White,,,,foreign used,automatic,Gwarinpa,"₦ 120,000,000"
Toyota Corolla L 2021 White,Toyota,Corolla,,foreign used,automatic,Amuwo-Odofin,"₦ 25,000,000"
Lexus ES 2017 Silver,Lexus,ES,2017,foreign used,automatic,Gwarinpa,"₦ 37,500,000"
Lexus RX 350 2010 Red,Lexus,RX,,foreign used,automatic,Ajah,"₦ 22,500,000"
Lexus GS 2006 Gray,Lexus,GS,2006,local used,automatic,Ikeja,"₦ 6,600,000"
Lexus NX 200t AWD 2015 Silver,Lexus,NX,,local used,automatic,Mabushi,"₦ 43,000,000"
New Toyota Corolla Cross LE 4WD 2024 Blue,New,Toyota,,new,automatic,Surulere,"₦ 51,000,000"
Mercedes-Benz GLE-Class 2017 Red,,,,foreign used,automatic,Amuwo-Odofin,"₦ 80,000,000"
Toyota Camry 2018 White,Toyota,Camry,2018,local used,automatic,Ikeja,"₦ 22,500,000"
Toyota Highlander Sport 2010 Red,Toyota,Highlander,,foreign used,automatic,Surulere,"₦ 16,700,000"
Mercedes-Benz GLE-Class GLE 350 2020 White,,,,foreign used,automatic,Surulere,"₦ 108,000,000"
Lexus RX 2022 White,Lexus,RX,2022,foreign used,automatic,Central Business District,"₦ 75,000,000"
Hyundai Sonata 2015 Black,Hyundai,Sonata,2015,foreign used,automatic,Lekki,"₦ 17,500,000"
Nissan Pathfinder SV 2023 Red,Nissan,Pathfinder,,foreign used,automatic,Ikorodu,"₦ 78,000,000"
